序号,介绍,网址,楼层,户型,小区,面积,时间,总价,单价,县区
1.05103E+11,力高朝南三房 满2年税费少 户型实用  价格实惠,https://sz.lianjia.com/ershoufang/105102545124.html,高楼层(共35层),3室1厅,力高君御国际 ,78.37平米,2016年建板塔结合  -  ,255,32538,坪山
1.05103E+11,深业御园 3室1厅 210万,https://sz.lianjia.com/ershoufang/105102579970.html,中楼层(共32层),3室1厅,深业御园 ,75.64平米,2012年建板塔结合  -  ,210,27764,坪山
1.05103E+11,深业御园 3室2厅 220万,https://sz.lianjia.com/ershoufang/105102695964.html,中楼层(共33层),3室2厅,深业御园 ,75.6平米,2012年建板楼  -  ,220,29101,坪山
1.05101E+11,中粮一品澜山花园 1室1厅 198万,https://sz.lianjia.com/ershoufang/105101493093.html,中楼层(共32层),1室1厅,中粮一品澜山花园 ,68.95平米,2013年建板塔结合  -  ,198,28717,坪山
1.05102E+11,精致两房，布局有致，清新空气自由穿行。,https://sz.lianjia.com/ershoufang/105101623899.html,中楼层(共25层),2室1厅,豪方菁园 ,51.06平米,2012年建板塔结合  -  ,230,45046,坪山
1.05102E+11,万科金域东郡 舒适装修 三房两卫,https://sz.lianjia.com/ershoufang/105101736972.html,中楼层(共21层),3室2厅,万科金域东郡 ,89.26平米,2008年建塔楼  -  ,315,35291,坪山
1.05103E+11,70年产权；大花园社区公寓房；南北向,https://sz.lianjia.com/ershoufang/105102720197.html,中楼层(共18层),2室2厅,坪山首座 ,67.03平米,2014年建塔楼  -  ,168,25064,坪山
1.05102E+11,坪山高铁旁 南北通板楼 朝南看别墅花园  中高楼层,https://sz.lianjia.com/ershoufang/105101518794.html,中楼层(共33层),4室2厅,大东城二期 ,85.3平米,2014年建板塔结合  -  ,450,52755,坪山
1.05102E+11,深圳的上车盘 刚需首先选的户型 精装修 业主诚心出售,https://sz.lianjia.com/ershoufang/105101787758.html,高楼层(共33层),3室2厅,深业御园 ,72.13平米,2012年建板塔结合  -  ,210,29115,坪山
1.05102E+11,横厅结构精装大四房，南北通，地段好,https://sz.lianjia.com/ershoufang/105101904850.html,高楼层(共28层),4室1厅,万科金域缇香 ,89.53平米,2013年建板塔结合  -  ,405,45237,坪山
1.05102E+11,万科金域东郡 舒适小三房 可拎包入住 适合刚需,https://sz.lianjia.com/ershoufang/105102237516.html,高楼层(共16层),3室1厅,万科金域东郡 ,69.81平米,2008年建塔楼  -  ,272,38963,坪山
1.05102E+11,深业御园精装修四房，业主诚心卖自住保养很好。,https://sz.lianjia.com/ershoufang/105102322180.html,高楼层(共18层),4室2厅,深业御园 ,87.62平米,2012年建板楼  -  ,248,28305,坪山
1.05103E+11,东城上邸 精装修 满五唯一 家私全留,https://sz.lianjia.com/ershoufang/105102639682.html,中楼层(共31层),2室2厅,深业东城上邸 ,75平米,2009年建塔楼  -  ,248,33067,坪山
1.05102E+11,坐落于马峦山中的山水大宅，观山湖，小区负氧离子高,https://sz.lianjia.com/ershoufang/105101669370.html,高楼层(共32层),5室1厅,天峦湖 ,137.36平米,2015年建板塔结合  -  ,460,33489,坪山
1.05102E+11,坪山聚龙山公园物业；深业品牌开发；大花园社区环境好,https://sz.lianjia.com/ershoufang/105101726662.html,中楼层(共18层),4室2厅,深业御园 ,88.46平米,2012年建板楼  -  ,245,27697,坪山
1.05102E+11,万科金域缇香.万科物业.居家舒适,https://sz.lianjia.com/ershoufang/105102077002.html,高楼层(共19层),4室2厅,万科金域缇香 ,89平米,暂无数据  -  ,450,50562,坪山
1.05102E+11,豪方菁园.舒适两房.空间较大...,https://sz.lianjia.com/ershoufang/105102174674.html,中楼层(共25层),2室2厅,豪方菁园 ,50.06平米,2012年建板塔结合  -  ,200,39953,坪山
1.05102E+11,精装三房，满五唯一 税费少 看房方便,https://sz.lianjia.com/ershoufang/105102215926.html,低楼层(共25层),3室2厅,豪方菁园 ,47.21平米,2012年建板塔结合  -  ,187,39611,坪山
1.05102E+11,满五唯一，小洋房，户型方正，环境舒适，安静优雅,https://sz.lianjia.com/ershoufang/105102247133.html,高楼层(共7层),3室1厅,中粮一品澜山花园 ,82.27平米,2013年建板塔结合  -  ,228,27714,坪山
1.05102E+11,满五唯一，楼层好，视野辽阔，采光好,https://sz.lianjia.com/ershoufang/105102251127.html,高楼层(共33层),3室2厅,中粮一品澜山花园 ,86.97平米,2013年建板塔结合  -  ,245,28171,坪山
1.05102E+11,大东城的复式.小区环境好.居家好,https://sz.lianjia.com/ershoufang/105102407644.html,低楼层(共32层),4室2厅,大东城一期 ,88.55平米,2012年建塔楼  -  ,373,42124,坪山
1.05102E+11,此房满五 社 区宁静 自住的装修,https://sz.lianjia.com/ershoufang/105102454841.html,中楼层(共31层),3室1厅,深业东城上邸 ,75平米,2009年建塔楼  -  ,240,32000,坪山
1.05103E+11,精装三房 满五唯一费用少 可自行赎楼 东南向,https://sz.lianjia.com/ershoufang/105102505709.html,低楼层(共29层),3室2厅,大东城二期 ,89.12平米,2014年建板塔结合  -  ,348,39049,坪山
1.05103E+11,京基御景印象四期毛坯笋盘推荐.,https://sz.lianjia.com/ershoufang/105102542717.html,高楼层(共33层),3室2厅,京基御景印象四期 ,89平米,2016年建板塔结合  -  ,315,35394,坪山
1.05103E+11,店长力荐《金地朗悦》三房，满五唯一，业主诚心出售,https://sz.lianjia.com/ershoufang/105102559443.html,中楼层(共33层),3室2厅,金地朗悦 ,87.96平米,2014年建塔楼  -  ,295,33538,坪山
1.05103E+11,（店长诚荐）  天虹楼上三房，正南朝向 看花园，,https://sz.lianjia.com/ershoufang/105102586970.html,高楼层(共33层),3室2厅,深业东城国际 ,75.45平米,2013年建塔楼  -  ,275,36448,坪山
1.05103E+11,深业东城国际 3室2厅 310万,https://sz.lianjia.com/ershoufang/105102610626.html,高楼层(共33层),3室2厅,深业东城国际 ,89平米,2013年建塔楼  -  ,310,34832,坪山
1.05103E+11,京基四期；01户型；正南正北；看花园；少有出售户型,https://sz.lianjia.com/ershoufang/105102616261.html,中楼层(共33层),4室2厅,京基御景印象四期 ,89.08平米,2016年建板塔结合  -  ,343,38505,坪山
1.05101E+11,坪山天虹楼上；300万买三房；换房出售中；,https://sz.lianjia.com/ershoufang/105101345879.html,低楼层(共24层),3室2厅,深业东城国际 ,82.13平米,2012年建塔楼  -  ,290,35310,坪山
1.05102E+11,进则繁华，退亦宁静之生活；坐拥马峦山湖光山色,https://sz.lianjia.com/ershoufang/105101515545.html,低楼层(共32层),4室2厅,天峦湖 ,132.88平米,2016年建塔楼  -  ,437,32887,坪山
1.05102E+11,满2年，红本在手，精装4房，看房方便,https://sz.lianjia.com/ershoufang/105101568371.html,中楼层(共31层),4室2厅,深业东城上邸 ,88.66平米,2009年建塔楼  -  ,360,40605,坪山
1.05101E+11,坪山高铁+实验  万科金域缇香二期  精装4房  通透户型,https://sz.lianjia.com/ershoufang/105100896322.html,低楼层(共34层),4室2厅,万科金域缇香二期 ,89.36平米,2014年建板塔结合  -  ,368,41182,坪山
1.05101E+11,大东城 三房77平 满五年税费少 精装 户型方正,https://sz.lianjia.com/ershoufang/105101487397.html,中楼层(共33层),3室2厅,大东城二期 ,77.54平米,2014年建板塔结合  -  ,330,42559,坪山
1.05102E+11,万科缇香满五唯一精装大复式，高层大客厅；看游泳池,https://sz.lianjia.com/ershoufang/105101573785.html,高楼层(共18层),4室2厅,万科金域缇香二期 ,147.17平米,2014年建板塔结合  -  ,760,51641,坪山
1.05102E+11,实用型，满五唯一，本在手，诚心出售,https://sz.lianjia.com/ershoufang/105101676904.html,中楼层(共18层),4室2厅,深业御园 ,84.94平米,2012年建板塔结合  -  ,300,35320,坪山
1.05102E+11,力荐三房，红本在手，满五唯一,https://sz.lianjia.com/ershoufang/105101682139.html,低楼层(共33层),3室2厅,深业东城国际 ,87.93平米,2013年建塔楼  -  ,290,32981,坪山
1.05102E+11,招商花园 大四房 南北通透 满五唯一 红本在手 精装修,https://sz.lianjia.com/ershoufang/105101682563.html,中楼层(共28层),4室2厅,坪山招商花园城南区 ,130.03平米,2015年建板塔结合  -  ,500,38453,坪山
1.05102E+11,缇香二期精装三房320万朝西南看小区花园,https://sz.lianjia.com/ershoufang/105101737790.html,高楼层(共34层),3室1厅,万科金域缇香二期 ,75.62平米,2014年建板塔结合  -  ,320,42317,坪山
1.05102E+11,深业御园 精装两房 业主诚心出售,https://sz.lianjia.com/ershoufang/105101797394.html,高楼层(共32层),3室2厅,深业御园 ,75.64平米,2012年建板塔结合  -  ,230,30408,坪山
1.05102E+11,东城上邸顶楼复式 满五唯一税费少 带精装 拎包入住,https://sz.lianjia.com/ershoufang/105101799113.html,高楼层(共31层),4室2厅,深业东城上邸 ,134.79平米,2009年建塔楼  -  ,470,34870,坪山
1.05102E+11,坪山05年小区房；14/16坪山围站；一梯两户；精装,https://sz.lianjia.com/ershoufang/105102271976.html,高楼层(共11层),3室2厅,泰富华庭 ,110.58平米,2006年建板楼  -  ,270,24417,坪山
1.05102E+11,业主诚心出售 满5年 看房方便,https://sz.lianjia.com/ershoufang/105102075836.html,低楼层(共33层),3室2厅,深业东城国际 ,74.78平米,2012年建塔楼  -  ,268,35839,坪山
1.05102E+11,深业御园实用三加一户型满五唯一户型方正无遮挡采光好,https://sz.lianjia.com/ershoufang/105102189110.html,高楼层(共16层),4室2厅,深业御园 ,87.53平米,2012年建板塔结合  -  ,238,27191,坪山
1.05103E+11,龙光玖云著 1室1厅 168万,https://sz.lianjia.com/ershoufang/105102615978.html,中楼层(共10层),1室1厅,龙光玖云著 ,43.48平米,板塔结合  -  ,168,38639,坪山
1.05102E+11,中粮一品澜山花园 原始三房毛坯 满五年 业主急卖,https://sz.lianjia.com/ershoufang/105101591033.html,低楼层(共7层),3室2厅,中粮一品澜山花园 ,88.22平米,2013年建板塔结合  -  ,290,32873,坪山
1.05102E+11,临-近主干道 周-边配套齐qu 出行方便 精装四房,https://sz.lianjia.com/ershoufang/105101548725.html,高楼层(共16层),4室2厅,深业东城上邸 ,158.09平米,2009年建塔楼  -  ,480,30363,坪山
1.05102E+11,坪山中-心区 满五年精装三房 配套齐权 购物方便,https://sz.lianjia.com/ershoufang/105101796393.html,中楼层(共11层),3室2厅,泰富华庭 ,112.25平米,2006年建暂无数据  -  ,300,26727,坪山
1.05102E+11,丹梓龙庭三房两厅两卫 精装 买来可入住,https://sz.lianjia.com/ershoufang/105101818875.html,中楼层(共28层),3室2厅,丹梓龙庭 ,88.88平米,2014年建板楼  -  ,280,31504,坪山
1.05102E+11,满五唯一方正三房 少量欠款，距坪山高铁站步行即到,https://sz.lianjia.com/ershoufang/105102041637.html,低楼层(共33层),3室2厅,大东城二期 ,87平米,2014年建板塔结合  -  ,345,39656,坪山
1.05102E+11,沙湖站金地朗悦精装89平大3房 朝南视野好 看马峦山,https://sz.lianjia.com/ershoufang/105102143695.html,高楼层(共33层),3室2厅,金地朗悦 ,89.21平米,2014年建塔楼  -  ,292,32732,坪山
1.05102E+11,泰富华庭 3室2厅 310万,https://sz.lianjia.com/ershoufang/105102145693.html,中楼层(共11层),3室2厅,泰富华庭 ,111.18平米,2006年建暂无数据  -  ,310,27883,坪山
1.05102E+11,东城国际 满五唯一  红本在手 仅售300万,https://sz.lianjia.com/ershoufang/105102222241.html,中楼层(共31层),3室2厅,深业东城国际 ,89.52平米,2013年建塔楼  -  ,300,33513,坪山
1.05102E+11,满五唯一，小洋房，环境舒适，安静优雅,https://sz.lianjia.com/ershoufang/105102248838.html,中楼层(共7层),3室2厅,中粮一品澜山花园 ,87.82平米,2013年建板塔结合  -  ,260,29607,坪山
1.05102E+11,金地朗悦三房  业主自住装修，采光通透，稳定出售。,https://sz.lianjia.com/ershoufang/105102293686.html,高楼层(共33层),3室2厅,金地朗悦 ,89.08平米,2014年建板楼  -  ,320,35923,坪山
1.05102E+11,沙湖站全屋家私一起出售280万3房,https://sz.lianjia.com/ershoufang/105102297012.html,高楼层(共31层),3室2厅,深业东城国际 ,76.28平米,2013年建塔楼  -  ,280,36707,坪山
1.05102E+11,满五唯一  红本在手 精装 诚心出售,https://sz.lianjia.com/ershoufang/105102369975.html,低楼层(共24层),3室2厅,深业东城国际 ,89.76平米,2012年建板楼  -  ,310,34537,坪山
1.05102E+11,东城国际精装温馨三房，满五唯一，红本在手税费低！,https://sz.lianjia.com/ershoufang/105102480256.html,低楼层(共33层),3室2厅,深业东城国际 ,75.41平米,2013年建塔楼  -  ,270,35805,坪山
1.05103E+11,大东城二期小洋房顶楼三层业主诚心出售730万,https://sz.lianjia.com/ershoufang/105102624470.html,高楼层(共6层),5室3厅,大东城二期 ,143平米,板塔结合  -  ,730,51049,坪山
1.05103E+11,朝南精装三房，楼层高，视野广阔，楼下配套方便。,https://sz.lianjia.com/ershoufang/105102631850.html,高楼层(共33层),3室2厅,京基御景印象三期 ,89平米,板塔结合  -  ,330,37079,坪山
1.05103E+11,万科金域缇香精装3房，高楼层采光通风好....,https://sz.lianjia.com/ershoufang/105102640970.html,高楼层(共28层),3室2厅,万科金域缇香 ,75平米,2013年建板塔结合  -  ,290,38667,坪山
1.05103E+11,坪山交通方便。配套齐全。精装修大3房，,https://sz.lianjia.com/ershoufang/105102682740.html,低楼层(共16层),3室2厅,深业东城上邸 ,88.49平米,2009年建塔楼  -  ,305,34468,坪山
1.05103E+11,豪方菁园精装小户型  采光通风好 业主诚心出售,https://sz.lianjia.com/ershoufang/105102689456.html,高楼层(共25层),3室2厅,豪方菁园 ,44.14平米,2012年建板塔结合  -  ,200,45311,坪山
1.05103E+11,深业东城国际 3室2厅 295万,https://sz.lianjia.com/ershoufang/105102699686.html,低楼层(共24层),3室2厅,深业东城国际 ,89.04平米,2012年建塔楼  -  ,295,33132,坪山
1.05103E+11,深业东城国际 3室2厅 272万,https://sz.lianjia.com/ershoufang/105102525498.html,高楼层(共24层),3室2厅,深业东城国际 ,75平米,2013年建塔楼  -  ,272,36267,坪山
1.05101E+11,坪山新区，成熟配套，大3房，满两年，红本在手,https://sz.lianjia.com/ershoufang/105101368264.html,高楼层(共32层),3室1厅,祥祺滨河名苑 ,80.69平米,2015年建板塔结合  -  ,285,35321,坪山
1.05102E+11,东城上邸大面积复式户型出售  未曾入住,https://sz.lianjia.com/ershoufang/105101547806.html,高楼层(共32层),5室2厅,深业东城上邸 ,162.61平米,2009年建塔楼  -  ,650,39973,坪山
1.05102E+11,详祺滨河名苑 137平大五房   双阳台 户型通透,https://sz.lianjia.com/ershoufang/105101568482.html,低楼层(共31层),5室2厅,祥祺滨河名苑 ,136.29平米,2015年建板塔结合  -  ,435,31918,坪山
1.05102E+11,力高君御国际 4室2厅 326万,https://sz.lianjia.com/ershoufang/105101579629.html,低楼层(共35层),4室2厅,力高君御国际 ,87.99平米,2016年建板塔结合  -  ,326,37050,坪山
1.05102E+11,坪山马峦山公园；看花园；游泳池；朝正南；精装4房,https://sz.lianjia.com/ershoufang/105101657833.html,低楼层(共32层),4室2厅,天峦湖 ,130.55平米,2016年建塔楼  -  ,490,37534,坪山
1.05102E+11,满2年红本在手精装三房，朝南看花园，我有钥匙看房,https://sz.lianjia.com/ershoufang/105101990859.html,低楼层(共33层),3室2厅,祥祺滨河名苑 ,71.07平米,2015年建板塔结合  -  ,245,34474,坪山
1.05102E+11,天峦湖属于马峦山中的山水大宅，观山湖，,https://sz.lianjia.com/ershoufang/105102197768.html,低楼层(共32层),5室2厅,天峦湖 ,159平米,2016年建板塔结合  -  ,630,39623,坪山
1.05103E+11,招商花园城89平标准3房.朝东.中间楼层,https://sz.lianjia.com/ershoufang/105102639116.html,中楼层(共28层),3室2厅,坪山招商花园城南区 ,89.17平米,2015年建板塔结合  -  ,325,36448,坪山
1.05103E+11,心海城 3室2厅 320万,https://sz.lianjia.com/ershoufang/105102691019.html,低楼层(共32层),3室2厅,心海城 ,88.41平米,板塔结合  -  ,320,36196,坪山
1.05101E+11,坪山金地朗悦大两居，东南向精致装修，高楼层视野开阔,https://sz.lianjia.com/ershoufang/105101191869.html,高楼层(共33层),2室2厅,金地朗悦 ,74.52平米,2014年建板楼  -  ,275,36903,坪山
1.05102E+11,低调的奢华与张扬——深度的品质追求。,https://sz.lianjia.com/ershoufang/105101805808.html,中楼层(共28层),2室2厅,坪山招商花园城南区 ,76.33平米,2015年建板塔结合  -  ,298,39042,坪山
1.05101E+11,中粮世家 3房1厅 视野好  看房方便 央企物业,https://sz.lianjia.com/ershoufang/105101261064.html,高楼层(共32层),3室1厅,中粮一品澜山花园 ,89平米,2013年建板塔结合  -  ,235,26405,坪山
1.05102E+11,六和城 3室2厅 330万,https://sz.lianjia.com/ershoufang/105102277655.html,高楼层(共29层),3室2厅,六和城 ,88.6平米,2016年建塔楼  -  ,330,37247,坪山
1.05103E+11,力高经典实用竖厅四房，格局清晰有条理，地铁口物业,https://sz.lianjia.com/ershoufang/105102529102.html,高楼层(共35层),4室2厅,力高君御国际 ,87.9平米,2016年建板塔结合  -  ,335,38112,坪山
1.05101E+11,坪山京基3期 标准带精装3房 阳台侧出 私密性好,https://sz.lianjia.com/ershoufang/105101168902.html,低楼层(共33层),3室2厅,京基御景印象三期 ,89.18平米,板塔结合  -  ,320,35883,坪山
1.05101E+11,天峦湖大四房南北通户型满两年，视野好无遮挡,https://sz.lianjia.com/ershoufang/105101270946.html,中楼层(共32层),4室2厅,天峦湖 ,131.71平米,2016年建塔楼  -  ,500,37963,坪山
1.05101E+11,力高君御国际 3室2厅 310万,https://sz.lianjia.com/ershoufang/105101276616.html,中楼层(共35层),3室2厅,力高君御国际 ,78.25平米,2016年建板塔结合  -  ,310,39617,坪山
1.05101E+11,京基御景印象三期 三房 南北通透 户型方正 居住舒适,https://sz.lianjia.com/ershoufang/105101362674.html,中楼层(共33层),3室2厅,京基御景印象三期 ,89.43平米,板塔结合  -  ,317,35447,坪山
1.05102E+11,京基御景印象三期 3室2厅 320万,https://sz.lianjia.com/ershoufang/105101568496.html,中楼层(共33层),3室2厅,京基御景印象三期 ,89.43平米,2014年建板塔结合  -  ,320,35783,坪山
1.05102E+11,万科金域缇香；复式4房；前后带私家花园；,https://sz.lianjia.com/ershoufang/105101610917.html,低楼层(共23层),4室1厅,万科金域缇香二期 ,88.43平米,2014年建板塔结合  -  ,550,62197,坪山
1.05102E+11,力高君御超南看花园四房两厅两卫  六米阳台 中间楼层,https://sz.lianjia.com/ershoufang/105101790347.html,中楼层(共35层),4室2厅,力高君御国际 ,88.78平米,2016年建板塔结合  -  ,330,37171,坪山
1.05102E+11,环境优美，适合居家，朝南采光好,https://sz.lianjia.com/ershoufang/105101799993.html,中楼层(共32层),4室2厅,天峦湖 ,110.47平米,2016年建塔楼  -  ,428,38744,坪山
1.05102E+11,中粮一品澜山，央企物业，居住舒适。,https://sz.lianjia.com/ershoufang/105101997669.html,高楼层(共33层),3室2厅,中粮一品澜山花园 ,87.08平米,2013年建板塔结合  -  ,256,29399,坪山
1.05102E+11,中粮一品澜山花园 3室2厅 218万,https://sz.lianjia.com/ershoufang/105102455522.html,高楼层(共32层),3室2厅,中粮一品澜山花园 ,87.6平米,2013年建板塔结合  -  ,218,24886,坪山
1.05102E+11,房本在手，费用少，实用三房，住家佳选,https://sz.lianjia.com/ershoufang/105101598527.html,中楼层(共25层),3室2厅,豪方菁园 ,48.18平米,2012年建板塔结合  -  ,195,40474,坪山
1.05102E+11,满2年，毛坯大一房，户型方正总价低，看房方便有钥匙,https://sz.lianjia.com/ershoufang/105101900536.html,高楼层(共33层),1室0厅,深业御园 ,40.58平米,2012年建板楼  -  ,112,27600,坪山
1.05102E+11,天虹楼上，商圈成熟，中小企业基地，大社区,https://sz.lianjia.com/ershoufang/105102169753.html,高楼层(共33层),3室2厅,深业东城国际 ,75.38平米,2013年建塔楼  -  ,260,34492,坪山
1.05103E+11,六和城 舒适两房 南北通  采光通风效果好,https://sz.lianjia.com/ershoufang/105102652497.html,中楼层(共29层),2室1厅,六和城 ,73.64平米,2016年建塔楼  -  ,248,33678,坪山
1.05103E+11,深业东城国际 3室2厅 278万,https://sz.lianjia.com/ershoufang/105102748902.html,高楼层(共33层),3室2厅,深业东城国际 ,80.93平米,2013年建塔楼  -  ,278,34351,坪山
1.05101E+11,楼顶奢华大复式；看整个天峦湖景观视野开阔；空气清新,https://sz.lianjia.com/ershoufang/105101496011.html,高楼层(共32层),5室2厅,天峦湖 ,160.12平米,2016年建板塔结合  -  ,1230,76818,坪山
1.05102E+11,丹梓龙庭大五房  ，南北通视野好，无遮挡,https://sz.lianjia.com/ershoufang/105102238980.html,中楼层(共28层),5室2厅,丹梓龙庭 ,158.56平米,2014年建板楼  -  ,316,19930,坪山
1.05101E+11,坪山益田楼上；实用大四房高层看花园游泳池；业主急售,https://sz.lianjia.com/ershoufang/105100985580.html,中楼层(共29层),4室2厅,六和城 ,138.58平米,2016年建塔楼  -  ,420,30308,坪山
